session_id,total_clicks,avg_price,total_spent,max_price,min_price,unique_pages,max_page,country,unique_products,unique_categories,product_exploration_ratio,page_progression_ratio,conversion,revenue
1,8,43.875,351,57,33,3,5,29,8,4,1.0,1.6666666666666667,1,351
2,9,49.22222222222222,443,67,38,2,2,29,8,3,0.8888888888888888,1.0,0,443
3,3,44.666666666666664,134,48,38,1,1,21,3,2,1.0,1.0,0,134
4,4,45.25,181,62,33,3,3,21,4,2,1.0,1.0,0,181
5,1,57.0,57,57,57,1,2,9,1,1,1.0,2.0,0,57
6,3,39.666666666666664,119,48,33,2,3,9,3,1,1.0,1.5,0,119
7,8,36.0,288,52,28,4,4,29,8,3,1.0,1.0,0,288
8,8,36.625,293,57,20,3,3,9,8,2,1.0,1.0,0,293
9,3,41.0,123,57,28,2,2,29,3,2,1.0,1.0,0,123
10,5,45.4,227,57,28,1,1,16,5,2,1.0,1.0,0,227
11,1,72.0,72,72,72,1,1,9,1,1,1.0,1.0,0,72
12,7,50.142857142857146,351,57,33,2,2,29,6,3,0.8571428571428571,1.0,0,351
13,3,38.0,114,43,28,1,1,38,3,1,1.0,1.0,0,114
14,1,43.0,43,43,43,1,3,9,1,1,1.0,3.0,0,43
15,20,48.55,971,67,28,3,4,21,20,3,1.0,1.3333333333333333,0,971
16,1,28.0,28,28,28,1,4,29,1,1,1.0,4.0,0,28
17,4,45.25,181,57,33,2,2,9,4,3,1.0,1.0,0,181
18,5,52.6,263,82,38,2,2,9,5,1,1.0,1.0,0,263
19,3,43.0,129,48,38,2,2,29,3,2,1.0,1.0,0,129
20,2,35.5,71,38,33,2,2,29,2,1,1.0,1.0,0,71
21,5,42.8,214,67,23,1,1,29,5,2,1.0,1.0,0,214
22,3,46.0,138,62,38,2,2,9,3,1,1.0,1.0,0,138
23,1,33.0,33,33,33,1,4,29,1,1,1.0,4.0,0,33
24,5,39.8,199,52,33,2,2,29,5,3,1.0,1.0,0,199
25,1,38.0,38,38,38,1,1,9,1,1,1.0,1.0,0,38
26,2,50.0,100,62,38,1,1,29,2,1,1.0,1.0,0,100
27,5,46.8,234,57,38,1,1,9,5,3,1.0,1.0,0,234
28,4,48.5,194,65,38,1,1,29,4,3,1.0,1.0,0,194
29,3,44.333333333333336,133,62,28,1,1,29,3,1,1.0,1.0,0,133
30,10,40.4,404,62,28,3,3,29,10,3,1.0,1.0,0,404
31,9,43.666666666666664,393,52,26,3,3,29,7,3,0.7777777777777778,1.0,0,393
32,3,38.0,114,43,33,2,2,29,3,2,1.0,1.0,0,114
33,16,42.5,680,72,33,4,4,29,15,3,0.9375,1.0,0,680
34,1,57.0,57,57,57,1,1,24,1,1,1.0,1.0,0,57
35,5,50.4,252,62,33,2,2,24,5,2,1.0,1.0,0,252
36,2,33.0,66,33,33,1,1,29,1,1,0.5,1.0,0,66
37,5,50.4,252,62,38,2,2,29,5,3,1.0,1.0,0,252
38,4,45.25,181,62,33,2,2,29,4,2,1.0,1.0,0,181
39,2,38.0,76,48,28,2,2,41,2,2,1.0,1.0,0,76
40,6,42.833333333333336,257,62,33,2,2,9,6,2,1.0,1.0,0,257
41,2,30.5,61,33,28,2,2,9,2,1,1.0,1.0,0,61
